"","Catalog.Number","Kind.of.Object","Scientific.Name","Family","Phylum","Class","Order","Identified.By","Date.Identified","Current.Identification","Other.Identifications","Type.Status","Type.Citations","Kind.of.Voucher","Classification","Common.Name","Collection.Name","Specimen.Count","Sex.and.Stage","Preparation.Details..Preparation.Remarks.","Station.Number","Collector.s.","Date.Collected","Collection.Method","Ocean","Sea.Gulf","Bay.Sound","Country","Province.State","District.County","City.Town","Precise.Locality","Centroid.Latitude","Centroid.Longitude","Elevation..m.","Expedition.Name","Vessel","Cruise","River.Basin","Microhabitat.Description","Depth..m.","Depth.Notes","Geologic.Age","Notes","Field.Number.s.","Other.Numbers..Type...Value.","Accession.Number","Genetic.Sample.Type","Biorepository.Number","Specimen.Voucher.Number","Bold.ID","GenBank.Numbers","Preservation.Method","Embargo.","Depleted.","Record.Last.Modified","EZID","Year.Collected","Species.Clean"
"770","USNM 1219291","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","6",NA,"Dry","X2, X7, X13, X17, X19, X27","Kinzie, R. A.","Feb 1970 (2/70)","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Discovery Bay",NA,NA,NA,"","","",NA,"","20","",NA,"collector tagged as items: X2, X7, X13, X17, X19, X27","","collector number : X2; collector number : X7; collector number : X13; collector number : X17; collector number : X19; collector number : X27",NA,NA,NA,NA,NA,"",NA,NA,NA,"27 Aug 2013 13:06:00","http://n2t.net/ark:/65665/38df5a03b-c7d1-4407-879d-9f991faeff0b",1970,"Eunicea tourneforti"
"771","USNM 1219292","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","4",NA,"Dry","","Kinzie, R. A.","","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Discovery Bay",NA,NA,NA,"","","",NA,"","","",NA,"collector tagges as C2, C4, C5, 2","","collector number : C2, C4, C5, 2",NA,NA,NA,NA,NA,"",NA,NA,NA,"27 Aug 2013 13:06:00","http://n2t.net/ark:/65665/3dd698ec3-1aa2-48de-bced-6abc05370aca",NA,"Eunicea tourneforti"
"772","USNM 1219293","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Goreau, T. F.","8 Apr 1963","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Cardiff Hall",NA,NA,NA,"","","",NA,"","24 to 35","",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,NA,"27 Aug 2013 13:06:00","http://n2t.net/ark:/65665/3bf826709-d906-4e26-b4a0-7b9c87b2655c",1963,"Eunicea tourneforti"
"773","USNM 1219294","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry; Dry","630","","21 Mar 1968","","North Atlantic Ocean","Caribbean Sea","","Honduras","","","","Castilla Point, SW of",15.9867,-86.0333,NA,"","Pillsbury R/V","6802",NA,"","35 to 37","",NA,"","P630","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/3f5e8fb25-8502-4eab-aa28-cf985d83cda9",1968,"Eunicea tourneforti"
"774","USNM 1219295","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","5 LOT",NA,"Dry; Dry; Dry; Dry","746","","24 Jul 1968","","North Atlantic Ocean","Caribbean Sea","","Venezuela","","","","Los Roques Islands",11.9083,-66.9083,NA,"","Pillsbury R/V","6806",NA,"","23 to 27","",NA,"","P746","",NA,NA,NA,NA,NA,"",NA,NA,NA,"07 Mar 2025 21:23:00","http://n2t.net/ark:/65665/382222a1f-06d5-468a-b209-6270d29a6a14",1968,"Eunicea tourneforti"
"775","USNM 1219296","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","895","","8 Jul 1969","","North Atlantic Ocean","Caribbean Sea","","St. Lucia","","","","Off Pointe Du Cap",14.0917,-61.0133,NA,"","Pillsbury R/V","6907",NA,"","18","",NA,"","P895","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/37a1f06f0-fa8d-4b38-b85b-f5aa735269da",1969,"Eunicea tourneforti"
"776","USNM 1219297","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","968","","20 Jul 1969","","North Atlantic Ocean","Caribbean Sea","","Antigua and Barbuda","","","","off North coast of",17.3083,-61.8667,NA,"","Pillsbury R/V","6907",NA,"","18","",NA,"","P968","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/3443bfcb3-8ac4-4969-a484-38bbc05a8585",1969,"Eunicea tourneforti"
"777","USNM 1219298","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","1151","","15 Jan 1970","","North Atlantic Ocean","Caribbean Sea","","Dominican Republic","","","","Monte Cristi, NE of",19.95,-71.3433,NA,"","Pillsbury R/V","7001",NA,"","37 to 695","",NA,"","P1151","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/37e00c5c8-a09b-4e53-8d45-cb1005b54f11",1970,"Eunicea tourneforti"
"778","USNM 1219299","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","1249","","13 Jul 1970","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Pedro Bank",17.3867,-78.645,NA,"","Pillsbury R/V","7006",NA,"","26","",NA,"","P1249","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/318accc61-06e0-4048-abd9-6b84c4580ef2",1970,"Eunicea tourneforti"
"779","USNM 1219300","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","1283","","19 Jul 1970","","North Atlantic Ocean","Caribbean Sea","","Dominican Republic","","","","Beata Island",17.5183,-71.54,NA,"","Pillsbury R/V","7006",NA,"","18 to 25","",NA,"","P1283","",NA,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2013 16:07:00","http://n2t.net/ark:/65665/3c793f80b-3677-4a1b-be19-774c73fe57da",1970,"Eunicea tourneforti"
