Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 1007421","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","8 Oct 2000","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","Voucher","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","164","Sanchez, J. A.","8 Oct 2000","","North Atlantic Ocean","","","Puerto Rico","","","","Cayo Lobos",18.3768,-65.5633,"","","","","","","10","","","","","","2027490","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3d2644daa-0bfa-4da6-b927-77c11e2f4146"
"USNM 1017746","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, J.","2002","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","DRY","","Sanchez, J.; Acosta, A.","14 Aug 2002","scuba","North Atlantic Ocean","Caribbean Sea","Batteaux Bay","Trinidad and Tobago","","","","Tobago, Little Tobago Island, Black Jack Hole","","","","","","","","","25","","","","T146","","2027480","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3938ab5fe-8817-491b-aeb4-f1e322690e3f"
"USNM 1018073","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, J.","2002","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Alcohol (Ethanol); DRY","","Sanchez, J.; Acosta, A.","14 Aug 2002","Scuba","North Atlantic Ocean","Caribbean Sea","Batteaux Bay","Trinidad and Tobago","","","","Tobago, Little Tobago Island, Black Jack Hole","","","","","","","","","25","","","","T145","","2027480","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3a25653ab-8082-4063-af61-754c79b7d983"
"USNM 1156379","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History","Jul 2011","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Peterson, L. W.","22 Jul 1961","","North Atlantic Ocean","","","Bermuda","","","","The Flatts","","","","","","","","","9","","","","","","347966","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/37aa09a97-88ba-4f3e-b3ef-5d50b5407f5c"
"USNM 1158636","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1973","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Rainey, W. E.","24 Jun 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Glover's Reef, southwest margin, outer reef, leeward shelf edge of atoll on steep slope",16.75,-87.75,"","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","26","","","","","","318808","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3645b9ce6-b6a0-4b8b-8743-0938b513958b"
"USNM 1158732","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1973","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Rainey, W. E.","24 Jun 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Glover's Reef, southwest margin, outer reef, leeward shelf edge of atoll on steep slope",16.75,-87.75,"","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","26","","","","","","318808","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/359b6d1bf-4a4a-4c67-a701-2ab971caa73c"
"USNM 53568","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","","Larson, R. J.","29 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay",16.8,-88.08,"","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","1.5","Intertidal","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3726e27eb-4342-4e89-b4e8-a2e63d131d20"
"USNM 53566","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","30 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 50 Yards off S. end, coral heads, sand.","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","3 to 4","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3b143dfe1-161b-424a-bb12-0eecf4255d7c"
"USNM 53565","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","30 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 50 Yards off S. end, coral heads, sand.","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","3 to 4","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3779f6782-127d-4a3b-a504-8c86634d2528"
"USNM 1206369","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","6","Shoemaker, C. R.","5 Jul 1915","","North Atlantic Ocean","Caribbean Sea","French Bay","Virgin Islands of the United States","","","","St. Thomas Island",18.3175,-64.9142,"","","","","","","1 to 5","","","Tissue taken by Akacia Halliday-Isaac in May 2022 for DNA extraction in study on Apicomplexan diversity.","","","058705","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3d9d0f3d8-4b77-4869-95a6-19dc19d68b95"
"USNM 4078","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","010493","","","","","","","","","25 Feb 2025 18:14:00","http://n2t.net/ark:/65665/3231b27d3-eabf-4398-8fee-e560f490fae8"
"USNM 4079","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","010493","","","","","","","","","25 Feb 2025 18:14:00","http://n2t.net/ark:/65665/3609f788f-6c1c-4b99-a125-b1429c25641e"
"USNM 4084","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","010493","","","","","","","","","25 Feb 2025 18:13:00","http://n2t.net/ark:/65665/34c45ec65-c4cc-401b-a97e-084e486ac7af"
"USNM 4077","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","010493","","","","","","","","","25 Feb 2025 18:13:00","http://n2t.net/ark:/65665/3999389b3-c617-479f-93fb-0e3bb62c725c"
"USNM 51347","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","2 Mar 1959","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","1124","Hummelinck, P. W.","2 Jun 1949","","North Atlantic Ocean","Caribbean Sea","","St. Barthelemy","","","","Fourche Island, Five Island Bay, N.E. Shore rock debris","","","","","","","","","1.5","Intertidal","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/31538532d-d6f5-442a-8e5a-5f2c5e57d057"
"USNM 1207564","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Bartsch, P.","29 May 1912","","North Atlantic Ocean","","","United States","Florida","","","Biscayne By, Off Key Biscayne","","","","","","","","","5 to 10","","","","","","054232","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/38273430d-7afe-48b9-a4ad-4d2b9300895f"
"USNM 1207874","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","Jun 1962 (June 1962)","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Ragged Keys","","","","","","","","","","","","","","","","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/300dbc3bc-f983-45c0-96f6-58e84c48b3f0"
"USNM 1210323","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","SHORE","United States Fish Commission","1 Mar 1886","","North Atlantic Ocean","","","Bahamas","","","","Watlings Island","","","","","Albatross R/V","","","","","","","","","catalog number : 14400","","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3510d0eb1-982f-4f98-9fe2-d675e2c0a224"
"USNM 1237818","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","27 Jan 1967","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Atlantic Ocean","Caribbean Sea","","St. Vincent and the Grenadines","","","","","","","","","","","","","","","","","","collection number : 15","","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/363c82142-e5f7-4b8b-911e-66ef85a18282"
