Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 8968","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","Stearns Collection",2,"","Dry","","Fisher, W. G.","","","North Pacific Ocean","Gulf of California","","Mexico","","","","","","","","","","","","","","","","From the Stearns Collection","","","014668","","","","","","","","","04 Jan 2022 16:59:00","http://n2t.net/ark:/65665/33a2c2b48-daf3-424b-9d9c-5de437a1f9a5"
"USNM 8969","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","Stearns Collection",2,"","Dry","","Fisher, W. G.","","","North Pacific Ocean","Gulf of California","","Mexico","","","","","","","","","","","","","","","","From the Stearns Collection","","","014668","","","","","","","","","04 Jan 2022 16:59:00","http://n2t.net/ark:/65665/31709bff6-7faf-4d5e-91f2-8e2041b9a16d"
"USNM 8975","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","Stearns Collection",1,"","Dry","","Fisher, W. G.","","","North Pacific Ocean","Gulf of California","","Mexico","","","","","","","","","","","","","","","","From the Stearns Collection","","","014668","","","","","","","","","04 Jan 2022 16:59:00","http://n2t.net/ark:/65665/357f9459e-39d4-4543-902e-afe9cd8b3d9e"
"USNM 5987","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Dall, W. H.","","","North Pacific Ocean","Gulf of Santa Catalina","","United States","California","","","Channel Islands, Santa Catalina Island","","","","","","","","","","","","","","","","","","","","","","","","07 Jan 2014 15:36:00","http://n2t.net/ark:/65665/311261618-bbff-4e05-a924-8b1c99b1d20a"
"USNM 5986","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Dall, W. H.","","","North Pacific Ocean","Gulf of Santa Catalina","","United States","California","","","Channel Islands, Santa Catalina Island","","","","","","","","","","","","","","","","","","","","","","","","07 Jan 2014 15:36:00","http://n2t.net/ark:/65665/37b6f43c1-24ba-4f9b-865c-2a65efe5d4db"
"USNM 17557","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Duges, A.","","","North Pacific Ocean","","","Mexico","","","","Guanajuato","","","","","","","","","","","","","","Tin Tag Number : 129","020097","","","","","","","","","28 Sep 2015 13:15:00","http://n2t.net/ark:/65665/3978ab143-0413-41b7-9e84-ac77f4a46a0b"
"USNM 15967","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","29 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",4,"","Dry","","Curtis, W. E.","","","South Pacific Ocean","","","Peru","","","","Off West Coast","","","","","","","","","","","","","","","019032","","","","","","","","","28 Sep 2015 13:15:00","http://n2t.net/ark:/65665/3760e156d-abf6-4a84-b00a-0ca68ab8abc3"
"USNM 1199306","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",5,"","Dry","","Gayman, W.","May 1959","","North Pacific Ocean","Gulf of California","","Mexico","Baja California","","","30 Mile South Of San Felipe near Punta Diggs","","","","","","","","","","","","Tag with specimen states, ""Dead on beach.""","","","225531","","","","","","","","","22 Feb 2013 16:23:00","http://n2t.net/ark:/65665/38cd4ff92-cfcf-43f6-b5a2-ccc63397be70"
"USNM 1199752","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","3 Sep 2019","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","LXX-H.5.","Scripps Institution of Oceanography","23 Jul 1901","","North Pacific Ocean","","","United States","California","San Diego County","La Jolla","NNW of",32.87,-117.28,"","","","","","","99 to 215","","","","","","180084","","","","","","","","","10 Sep 2019 18:21:00","http://n2t.net/ark:/65665/33d5eb603-e17f-4a66-8f89-cc4a8125be95"
"USNM 1201666","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","North, W.","Aug 1957","","North Pacific Ocean","","","Mexico","Baja California","","","Abreojos","","","","","","","","","9 to 12","","","","","","213947","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/3fd10eb3f-af7b-4e6a-8279-367617063864"
