,id,type
254,FUN_040465,gene
255,FUN_043902,gene
256,FUN_001239,gene
257,FUN_023317,gene
258,FUN_024493,gene
259,FUN_028721,gene
260,FUN_001519,gene
261,FUN_000871,gene
262,FUN_003451,gene
263,FUN_002336,gene
264,FUN_004114,gene
265,FUN_004184,gene
266,FUN_006453,gene
267,FUN_006464,gene
268,FUN_006518,gene
269,FUN_006670,gene
270,FUN_006837,gene
271,FUN_005689,gene
272,FUN_006074,gene
273,FUN_008586,gene
274,FUN_008587,gene
275,FUN_009601,gene
276,FUN_010924,gene
277,FUN_012913,gene
278,FUN_015624,gene
279,FUN_015844,gene
280,FUN_015940,gene
281,FUN_015261,gene
282,FUN_016804,gene
283,FUN_016961,gene
284,FUN_018774,gene
285,FUN_018214,gene
286,FUN_019354,gene
287,FUN_019367,gene
288,FUN_019371,gene
289,FUN_026529,gene
290,FUN_026257,gene
291,FUN_026270,gene
292,FUN_026300,gene
293,FUN_027781,gene
294,FUN_028240,gene
295,FUN_028371,gene
296,FUN_028534,gene
297,FUN_028820,gene
298,FUN_031249,gene
299,FUN_031362,gene
300,FUN_031763,gene
301,FUN_032563,gene
302,FUN_029972,gene
303,FUN_029989,gene
304,FUN_037559,gene
305,FUN_037563,gene
306,FUN_036808,gene
307,FUN_039028,gene
308,FUN_038455,gene
309,FUN_040534,gene
310,FUN_041240,gene
311,FUN_041876,gene
312,FUN_042425,gene
313,FUN_043519,gene
314,FUN_002713,gene
315,FUN_006866,gene
316,FUN_015520,gene
317,FUN_016785,gene
318,FUN_018925,gene
319,FUN_018107,gene
320,FUN_018129,gene
321,FUN_018136,gene
322,FUN_023811,gene
323,FUN_033723,gene
324,FUN_001366,gene
325,FUN_001583,gene
326,FUN_001781,gene
327,FUN_000401,gene
328,FUN_000929,gene
329,FUN_000933,gene
330,FUN_004005,gene
331,FUN_004085,gene
332,FUN_004390,gene
333,FUN_004636,gene
334,FUN_004729,gene
335,FUN_005107,gene
336,FUN_005289,gene
337,FUN_005497,gene
338,FUN_002575,gene
339,FUN_002328,gene
340,FUN_002719,gene
341,FUN_002930,gene
342,FUN_006284,gene
343,FUN_006372,gene
344,FUN_006631,gene
345,FUN_007079,gene
346,FUN_007172,gene
347,FUN_005697,gene
348,FUN_006120,gene
349,FUN_006264,gene
350,FUN_008322,gene
351,FUN_008325,gene
352,FUN_008535,gene
353,FUN_008543,gene
354,FUN_008705,gene
355,FUN_007679,gene
356,FUN_007960,gene
357,FUN_007997,gene
358,FUN_008278,gene
359,FUN_009778,gene
360,FUN_009072,gene
361,FUN_009277,gene
362,FUN_009412,gene
363,FUN_009532,gene
364,FUN_010778,gene
365,FUN_010789,gene
366,FUN_010620,gene
367,FUN_012750,gene
368,FUN_012766,gene
369,FUN_013077,gene
370,FUN_013084,gene
371,FUN_013419,gene
372,FUN_013504,gene
373,FUN_013612,gene
374,FUN_011952,gene
375,FUN_014315,gene
376,FUN_011989,gene
377,FUN_012067,gene
378,FUN_012130,gene
379,FUN_012223,gene
380,FUN_012483,gene
381,FUN_012530,gene
382,FUN_015470,gene
383,FUN_014884,gene
384,FUN_015243,gene
385,FUN_014517,gene
386,FUN_016103,gene
387,FUN_016001,gene
388,FUN_016292,gene
389,FUN_016492,gene
390,FUN_016896,gene
391,FUN_018543,gene
392,FUN_018795,gene
393,FUN_018310,gene
394,FUN_020937,gene
395,FUN_020838,gene
396,FUN_021949,gene
397,FUN_022047,gene
398,FUN_022109,gene
399,FUN_023028,gene
400,FUN_023262,gene
401,FUN_023341,gene
402,FUN_023566,gene
403,FUN_024741,gene
404,FUN_024411,gene
405,FUN_024417,gene
406,FUN_025253,gene
407,FUN_025730,gene
408,FUN_025755,gene
409,FUN_026107,gene
410,FUN_026363,gene
411,FUN_026438,gene
412,FUN_026456,gene
413,FUN_026503,gene
414,FUN_027779,gene
415,FUN_027960,gene
416,FUN_028031,gene
417,FUN_028043,gene
418,FUN_028188,gene
419,FUN_028206,gene
420,FUN_028961,gene
421,FUN_029052,gene
422,FUN_029145,gene
423,FUN_031243,gene
424,FUN_031244,gene
425,FUN_031427,gene
426,FUN_032147,gene
427,FUN_032429,gene
428,FUN_032685,gene
429,FUN_033196,gene
430,FUN_033201,gene
431,FUN_033292,gene
432,FUN_029346,gene
433,FUN_033911,gene
434,FUN_034064,gene
435,FUN_034203,gene
436,FUN_034245,gene
437,FUN_034400,gene
438,FUN_034408,gene
439,FUN_034490,gene
440,FUN_034900,gene
441,FUN_035169,gene
442,FUN_035228,gene
443,FUN_035286,gene
444,FUN_035412,gene
445,FUN_035584,gene
446,FUN_037422,gene
447,FUN_036773,gene
448,FUN_036982,gene
449,FUN_036983,gene
450,FUN_037199,gene
451,FUN_037200,gene
452,FUN_037325,gene
453,FUN_037363,gene
