,id,type
254,FUN_013505,gene
255,FUN_013520,gene
256,FUN_013533,gene
257,FUN_013555,gene
258,FUN_013742,gene
259,FUN_013755,gene
260,FUN_013845,gene
261,FUN_011696,gene
262,FUN_013946,gene
263,FUN_013949,gene
264,FUN_011921,gene
265,FUN_014090,gene
266,FUN_014164,gene
267,FUN_011704,gene
268,FUN_011976,gene
269,FUN_011999,gene
270,FUN_012063,gene
271,FUN_012073,gene
272,FUN_012091,gene
273,FUN_012160,gene
274,FUN_012161,gene
275,FUN_012197,gene
276,FUN_012212,gene
277,FUN_012236,gene
278,FUN_012427,gene
279,FUN_012429,gene
280,FUN_012441,gene
281,FUN_012454,gene
282,FUN_012464,gene
283,FUN_012491,gene
284,FUN_015478,gene
285,FUN_015520,gene
286,FUN_015718,gene
287,FUN_015934,gene
288,FUN_014652,gene
289,FUN_014841,gene
290,FUN_014880,gene
291,FUN_014881,gene
292,FUN_014884,gene
293,FUN_014466,gene
294,FUN_014942,gene
295,FUN_014965,gene
296,FUN_015026,gene
297,FUN_015031,gene
298,FUN_014478,gene
299,FUN_015153,gene
300,FUN_014501,gene
301,FUN_015231,gene
302,FUN_014512,gene
303,FUN_015276,gene
304,FUN_015338,gene
305,FUN_015405,gene
306,FUN_016008,gene
307,FUN_016010,gene
308,FUN_017298,gene
309,FUN_017693,gene
310,FUN_016206,gene
311,FUN_016530,gene
312,FUN_016540,gene
313,FUN_016557,gene
314,FUN_016578,gene
315,FUN_016589,gene
316,FUN_016635,gene
317,FUN_016695,gene
318,FUN_016696,gene
319,FUN_016698,gene
320,FUN_016788,gene
321,FUN_018533,gene
322,FUN_018604,gene
323,FUN_018619,gene
324,FUN_018660,gene
325,FUN_018764,gene
326,FUN_018796,gene
327,FUN_018818,gene
328,FUN_018821,gene
329,FUN_018822,gene
330,FUN_018905,gene
331,FUN_018909,gene
332,FUN_018925,gene
333,FUN_019017,gene
334,FUN_017920,gene
335,FUN_017767,gene
336,FUN_017986,gene
337,FUN_018086,gene
338,FUN_018138,gene
339,FUN_017790,gene
340,FUN_018202,gene
341,FUN_018210,gene
342,FUN_018245,gene
343,FUN_018323,gene
344,FUN_018346,gene
345,FUN_018352,gene
346,FUN_018393,gene
347,FUN_018403,gene
348,FUN_019453,gene
349,FUN_019274,gene
350,FUN_019598,gene
351,FUN_019633,gene
352,FUN_019689,gene
353,FUN_022561,gene
354,FUN_022615,gene
355,FUN_022673,gene
356,FUN_021146,gene
357,FUN_021938,gene
358,FUN_022052,gene
359,FUN_022199,gene
360,FUN_022299,gene
361,FUN_022301,gene
362,FUN_022312,gene
363,FUN_022322,gene
364,FUN_022376,gene
365,FUN_022447,gene
366,FUN_022478,gene
367,FUN_022499,gene
368,FUN_023811,gene
369,FUN_022895,gene
370,FUN_022996,gene
371,FUN_022999,gene
372,FUN_023072,gene
373,FUN_023108,gene
374,FUN_023117,gene
375,FUN_023200,gene
376,FUN_023233,gene
377,FUN_023321,gene
378,FUN_023432,gene
379,FUN_023465,gene
380,FUN_023578,gene
381,FUN_023586,gene
382,FUN_023601,gene
383,FUN_023611,gene
384,FUN_024706,gene
385,FUN_023999,gene
386,FUN_024749,gene
387,FUN_024783,gene
388,FUN_024007,gene
389,FUN_024865,gene
390,FUN_024894,gene
391,FUN_024901,gene
392,FUN_024921,gene
393,FUN_024923,gene
394,FUN_024924,gene
395,FUN_025142,gene
396,FUN_024040,gene
397,FUN_024137,gene
398,FUN_024206,gene
399,FUN_024232,gene
400,FUN_023943,gene
401,FUN_024477,gene
402,FUN_023970,gene
403,FUN_023972,gene
404,FUN_024543,gene
405,FUN_024556,gene
406,FUN_024673,gene
407,FUN_025403,gene
408,FUN_025430,gene
409,FUN_025431,gene
410,FUN_025233,gene
411,FUN_025437,gene
412,FUN_025438,gene
413,FUN_025451,gene
414,FUN_025486,gene
415,FUN_025551,gene
416,FUN_025629,gene
417,FUN_025660,gene
418,FUN_026673,gene
419,FUN_026676,gene
420,FUN_026704,gene
421,FUN_026719,gene
422,FUN_026732,gene
423,FUN_025851,gene
424,FUN_026826,gene
425,FUN_026846,gene
426,FUN_025981,gene
427,FUN_025745,gene
428,FUN_026008,gene
429,FUN_026011,gene
430,FUN_026015,gene
431,FUN_026104,gene
432,FUN_026127,gene
433,FUN_026144,gene
434,FUN_026201,gene
435,FUN_026203,gene
436,FUN_026210,gene
437,FUN_025778,gene
438,FUN_026450,gene
439,FUN_026475,gene
440,FUN_027851,gene
441,FUN_027958,gene
442,FUN_027976,gene
443,FUN_028011,gene
444,FUN_028021,gene
445,FUN_028024,gene
446,FUN_028055,gene
447,FUN_028056,gene
448,FUN_028064,gene
449,FUN_028088,gene
450,FUN_028120,gene
451,FUN_028130,gene
452,FUN_028191,gene
453,FUN_028206,gene
