,id,type
1,Cluster_10452,miRNA
2,Cluster_11565,miRNA
3,Cluster_12081,miRNA
4,Cluster_12083,miRNA
5,Cluster_12087,miRNA
6,Cluster_13327,miRNA
7,Cluster_13647,miRNA
8,Cluster_14146,miRNA
9,Cluster_14165,miRNA
10,Cluster_14532,miRNA
11,Cluster_14605,miRNA
12,Cluster_14610,miRNA
13,Cluster_14633,miRNA
14,Cluster_14692,miRNA
15,Cluster_15097,miRNA
16,Cluster_16354,miRNA
17,Cluster_17173,miRNA
18,Cluster_17192,miRNA
19,Cluster_17245,miRNA
20,Cluster_17623,miRNA
21,Cluster_1819,miRNA
22,Cluster_1832,miRNA
23,Cluster_1833,miRNA
24,Cluster_1836,miRNA
25,Cluster_1865,miRNA
26,Cluster_1950,miRNA
27,Cluster_1951,miRNA
28,Cluster_2372,miRNA
29,Cluster_2500,miRNA
30,Cluster_2746,miRNA
31,Cluster_3109,miRNA
32,Cluster_3226,miRNA
33,Cluster_3227,miRNA
34,Cluster_3301,miRNA
35,Cluster_4034,miRNA
36,Cluster_4036,miRNA
37,Cluster_4752,miRNA
38,Cluster_5516,miRNA
39,Cluster_5517,miRNA
40,Cluster_5603,miRNA
41,Cluster_5685,miRNA
42,Cluster_9366,miRNA
43,Cluster_9380,miRNA
44,Cluster_9420,miRNA
45,Cluster_9512,miRNA
46,Cluster_9706,miRNA
47,Cluster_9786,miRNA
48,FUN_036953,gene
49,FUN_001301,gene
50,FUN_001855,gene
51,FUN_003719,gene
52,FUN_004024,gene
53,FUN_004306,gene
54,FUN_005154,gene
55,FUN_006930,gene
56,FUN_007101,gene
57,FUN_006225,gene
58,FUN_013133,gene
59,FUN_012341,gene
60,FUN_014695,gene
61,FUN_015354,gene
62,FUN_018537,gene
63,FUN_019559,gene
64,FUN_022255,gene
65,FUN_022386,gene
66,FUN_023055,gene
67,FUN_023357,gene
68,FUN_022874,gene
69,FUN_024210,gene
70,FUN_027811,gene
71,FUN_032001,gene
72,FUN_032403,gene
73,FUN_032889,gene
74,FUN_029878,gene
75,FUN_029950,gene
76,FUN_030073,gene
77,FUN_034386,gene
78,FUN_036214,gene
79,FUN_037680,gene
80,FUN_038783,gene
81,FUN_038260,gene
82,FUN_000572,gene
83,FUN_000610,gene
84,FUN_004105,gene
85,FUN_005146,gene
86,FUN_006440,gene
87,FUN_009832,gene
88,FUN_009833,gene
89,FUN_010040,gene
90,FUN_009214,gene
91,FUN_009360,gene
92,FUN_009600,gene
93,FUN_010207,gene
94,FUN_012889,gene
95,FUN_015867,gene
96,FUN_015199,gene
97,FUN_016908,gene
98,FUN_016943,gene
99,FUN_018741,gene
100,FUN_018891,gene
101,FUN_019259,gene
102,FUN_020771,gene
103,FUN_022886,gene
104,FUN_023814,gene
105,FUN_026047,gene
106,FUN_026284,gene
107,FUN_026462,gene
108,FUN_027750,gene
109,FUN_027753,gene
110,FUN_028343,gene
111,FUN_028400,gene
112,FUN_028413,gene
113,FUN_028416,gene
114,FUN_028435,gene
115,FUN_028665,gene
116,FUN_031542,gene
117,FUN_034037,gene
118,FUN_034086,gene
119,FUN_039566,gene
120,FUN_039578,gene
121,FUN_039639,gene
122,FUN_039919,gene
123,FUN_042063,gene
124,FUN_042901,gene
125,FUN_042950,gene
126,FUN_008687,gene
127,FUN_016011,gene
128,FUN_016768,gene
129,FUN_022362,gene
130,FUN_024212,gene
131,FUN_027919,gene
132,FUN_028065,gene
133,FUN_028443,gene
