,id,type,DEG_tp2_tp4,GO_id
133,FUN_004568,gene,no,GO:0008270
134,FUN_004568,gene,no,GO:0009368
135,FUN_004568,gene,no,GO:0009841
136,FUN_004568,gene,no,GO:0016504
137,FUN_004568,gene,no,GO:0016887
138,FUN_004568,gene,no,GO:0042645
139,FUN_004568,gene,no,GO:0046034
140,FUN_004568,gene,no,GO:0046983
141,FUN_004568,gene,no,GO:0051082
142,FUN_004568,gene,no,GO:0051603
143,FUN_004568,gene,no,GO:0140662
144,FUN_004635,gene,no,GO:0000139
145,FUN_004635,gene,no,GO:0003829
146,FUN_004635,gene,no,GO:0005975
147,FUN_004635,gene,no,GO:0006493
148,FUN_004635,gene,no,GO:0008109
149,FUN_004635,gene,no,GO:0008375
150,FUN_004635,gene,no,GO:0016020
151,FUN_004635,gene,no,GO:0016266
152,FUN_004635,gene,no,GO:0048729
153,FUN_004635,gene,no,GO:0050892
154,FUN_004635,gene,no,GO:0060993
155,FUN_004635,gene,no,GO:0070062
156,FUN_004635,gene,no,GO:0106325
157,FUN_004635,gene,no,GO:0106326
158,FUN_002861,gene,no,GO:0000922
159,FUN_002861,gene,no,GO:0005737
160,FUN_002861,gene,no,GO:0005815
161,FUN_002861,gene,no,GO:0007049
162,FUN_002861,gene,no,GO:0007346
163,FUN_002861,gene,no,GO:0019900
164,FUN_002861,gene,no,GO:0030496
165,FUN_002861,gene,no,GO:0051301
166,FUN_006436,gene,no,GO:0004197
167,FUN_006436,gene,no,GO:0004843
168,FUN_006436,gene,no,GO:0005634
169,FUN_006436,gene,no,GO:0005829
170,FUN_006436,gene,no,GO:0006511
171,FUN_006436,gene,no,GO:0016579
172,FUN_006450,gene,no,GO:0005524
173,FUN_006450,gene,no,GO:0005737
174,FUN_006450,gene,no,GO:0005829
175,FUN_006450,gene,no,GO:0007249
176,FUN_006450,gene,no,GO:0014067
177,FUN_006450,gene,no,GO:0032088
178,FUN_006450,gene,no,GO:0032687
179,FUN_006450,gene,no,GO:0032688
180,FUN_006450,gene,no,GO:0032715
181,FUN_006450,gene,no,GO:0032720
182,FUN_006450,gene,no,GO:0034451
183,FUN_006450,gene,no,GO:0035556
184,FUN_006450,gene,no,GO:0036312
185,FUN_006450,gene,no,GO:0042110
186,FUN_006450,gene,no,GO:0043124
187,FUN_006450,gene,no,GO:0043231
188,FUN_006450,gene,no,GO:0045824
189,FUN_006450,gene,no,GO:0048147
190,FUN_006450,gene,no,GO:0048471
191,FUN_006450,gene,no,GO:0050680
192,FUN_006450,gene,no,GO:0050728
193,FUN_006450,gene,no,GO:1900016
194,FUN_006450,gene,no,GO:1900226
195,FUN_006450,gene,no,GO:1901223
196,FUN_006566,gene,no,GO:0005524
197,FUN_006566,gene,no,GO:0005737
198,FUN_006566,gene,no,GO:0005829
199,FUN_006566,gene,no,GO:0007249
200,FUN_006566,gene,no,GO:0014067
201,FUN_006566,gene,no,GO:0032088
202,FUN_006566,gene,no,GO:0032687
203,FUN_006566,gene,no,GO:0032688
204,FUN_006566,gene,no,GO:0032715
205,FUN_006566,gene,no,GO:0032720
206,FUN_006566,gene,no,GO:0034451
207,FUN_006566,gene,no,GO:0035556
208,FUN_006566,gene,no,GO:0036312
209,FUN_006566,gene,no,GO:0042110
210,FUN_006566,gene,no,GO:0043124
211,FUN_006566,gene,no,GO:0043231
212,FUN_006566,gene,no,GO:0045824
213,FUN_006566,gene,no,GO:0048147
214,FUN_006566,gene,no,GO:0048471
215,FUN_006566,gene,no,GO:0050680
216,FUN_006566,gene,no,GO:0050728
217,FUN_006566,gene,no,GO:1900016
218,FUN_006566,gene,no,GO:1900226
219,FUN_006566,gene,no,GO:1901223
220,FUN_006690,gene,no,GO:0003964
221,FUN_007025,gene,no,GO:0003824
222,FUN_007148,gene,no,GO:0001669
223,FUN_007148,gene,no,GO:0007224
224,FUN_007148,gene,no,GO:0031514
225,FUN_007148,gene,no,GO:0060271
226,FUN_005811,gene,no,GO:0003341
227,FUN_005811,gene,no,GO:0005524
228,FUN_005811,gene,no,GO:0005874
229,FUN_005811,gene,no,GO:0007018
230,FUN_005811,gene,no,GO:0008569
231,FUN_005811,gene,no,GO:0030286
232,FUN_005811,gene,no,GO:0036156
233,FUN_005811,gene,no,GO:0045505
234,FUN_005811,gene,no,GO:0051959
235,FUN_005811,gene,no,GO:0097729
236,FUN_005989,gene,no,GO:0005506
237,FUN_005989,gene,no,GO:0005737
238,FUN_005989,gene,no,GO:0006633
239,FUN_005989,gene,no,GO:0009978
240,FUN_005989,gene,no,GO:0016020
241,FUN_005989,gene,no,GO:0019369
242,FUN_005989,gene,no,GO:0020037
243,FUN_005989,gene,no,GO:0031408
244,FUN_005989,gene,no,GO:0034440
245,FUN_005989,gene,no,GO:0047677
246,FUN_006243,gene,no,GO:0000139
247,FUN_006243,gene,no,GO:0001537
248,FUN_006243,gene,no,GO:0008146
249,FUN_006243,gene,no,GO:0016051
250,FUN_006243,gene,no,GO:0050655
251,FUN_008347,gene,no,GO:0005576
252,FUN_008347,gene,no,GO:0016020
253,FUN_008362,gene,no,GO:0005576
254,FUN_008362,gene,no,GO:0016020
255,FUN_008363,gene,no,GO:0005576
256,FUN_008363,gene,no,GO:0016020
257,FUN_008438,gene,no,GO:0005576
258,FUN_008438,gene,no,GO:0090729
259,FUN_008469,gene,no,GO:0001658
260,FUN_008469,gene,no,GO:0001822
261,FUN_008469,gene,no,GO:0001889
262,FUN_008469,gene,no,GO:0001892
263,FUN_008469,gene,no,GO:0001947
264,FUN_008469,gene,no,GO:0002133
265,FUN_008469,gene,no,GO:0003127
266,FUN_008469,gene,no,GO:0005102
267,FUN_008469,gene,no,GO:0005244
268,FUN_008469,gene,no,GO:0005245
269,FUN_008469,gene,no,GO:0005248
270,FUN_008469,gene,no,GO:0005249
271,FUN_008469,gene,no,GO:0005261
272,FUN_008469,gene,no,GO:0005262
273,FUN_008469,gene,no,GO:0005267
274,FUN_008469,gene,no,GO:0005509
275,FUN_008469,gene,no,GO:0005737
276,FUN_008469,gene,no,GO:0005783
277,FUN_008469,gene,no,GO:0005789
278,FUN_008469,gene,no,GO:0005794
279,FUN_008469,gene,no,GO:0005829
280,FUN_008469,gene,no,GO:0005886
281,FUN_008469,gene,no,GO:0005929
282,FUN_008469,gene,no,GO:0006816
283,FUN_008469,gene,no,GO:0006874
284,FUN_008469,gene,no,GO:0007204
285,FUN_008469,gene,no,GO:0007259
286,FUN_008469,gene,no,GO:0007368
287,FUN_008469,gene,no,GO:0007507
288,FUN_008469,gene,no,GO:0008092
289,FUN_008469,gene,no,GO:0009925
290,FUN_008469,gene,no,GO:0010628
291,FUN_008469,gene,no,GO:0015267
292,FUN_008469,gene,no,GO:0015271
293,FUN_008469,gene,no,GO:0016020
294,FUN_008469,gene,no,GO:0016055
295,FUN_008469,gene,no,GO:0016323
296,FUN_008469,gene,no,GO:0021510
297,FUN_008469,gene,no,GO:0021915
298,FUN_008469,gene,no,GO:0022843
299,FUN_008469,gene,no,GO:0030027
300,FUN_008469,gene,no,GO:0030659
301,FUN_008469,gene,no,GO:0031514
302,FUN_008469,gene,no,GO:0031587
303,FUN_008469,gene,no,GO:0034703
304,FUN_008469,gene,no,GO:0035502
305,FUN_008469,gene,no,GO:0035725
306,FUN_008469,gene,no,GO:0035904
307,FUN_008469,gene,no,GO:0036064
308,FUN_008469,gene,no,GO:0042127
309,FUN_008469,gene,no,GO:0042802
310,FUN_008469,gene,no,GO:0042803
311,FUN_008469,gene,no,GO:0042805
312,FUN_008469,gene,no,GO:0042994
313,FUN_008469,gene,no,GO:0043398
314,FUN_008469,gene,no,GO:0044325
315,FUN_008469,gene,no,GO:0044782
316,FUN_008469,gene,no,GO:0045180
317,FUN_008469,gene,no,GO:0045429
318,FUN_008469,gene,no,GO:0045737
319,FUN_008469,gene,no,GO:0045944
320,FUN_008469,gene,no,GO:0048763
321,FUN_008469,gene,no,GO:0050982
322,FUN_008469,gene,no,GO:0051117
323,FUN_008469,gene,no,GO:0051209
324,FUN_008469,gene,no,GO:0051219
325,FUN_008469,gene,no,GO:0051262
326,FUN_008469,gene,no,GO:0051289
327,FUN_008469,gene,no,GO:0051290
328,FUN_008469,gene,no,GO:0051371
329,FUN_008469,gene,no,GO:0051393
330,FUN_008469,gene,no,GO:0051649
331,FUN_008469,gene,no,GO:0051726
332,FUN_008469,gene,no,GO:0060170
333,FUN_008469,gene,no,GO:0060315
334,FUN_008469,gene,no,GO:0060674
335,FUN_008469,gene,no,GO:0061333
336,FUN_008469,gene,no,GO:0061441
337,FUN_008469,gene,no,GO:0070588
338,FUN_008469,gene,no,GO:0071277
339,FUN_008469,gene,no,GO:0071320
340,FUN_008469,gene,no,GO:0071464
341,FUN_008469,gene,no,GO:0071470
342,FUN_008469,gene,no,GO:0071498
343,FUN_008469,gene,no,GO:0071805
344,FUN_008469,gene,no,GO:0071910
345,FUN_008469,gene,no,GO:0072075
346,FUN_008469,gene,no,GO:0072177
347,FUN_008469,gene,no,GO:0072208
348,FUN_008469,gene,no,GO:0072214
349,FUN_008469,gene,no,GO:0072218
350,FUN_008469,gene,no,GO:0072219
351,FUN_008469,gene,no,GO:0072235
352,FUN_008469,gene,no,GO:0072284
353,FUN_008469,gene,no,GO:0072686
354,FUN_008469,gene,no,GO:0090279
355,FUN_008469,gene,no,GO:0097730
356,FUN_008469,gene,no,GO:0098553
357,FUN_008469,gene,no,GO:0098554
358,FUN_008469,gene,no,GO:0098662
359,FUN_008469,gene,no,GO:0198738
360,FUN_008469,gene,no,GO:2000134
361,FUN_008513,gene,no,GO:0004888
362,FUN_008513,gene,no,GO:0005231
363,FUN_008513,gene,no,GO:0005886
364,FUN_008513,gene,no,GO:0007165
365,FUN_008513,gene,no,GO:0007268
366,FUN_008513,gene,no,GO:0022848
367,FUN_008513,gene,no,GO:0030594
368,FUN_008513,gene,no,GO:0034220
369,FUN_008513,gene,no,GO:0042391
370,FUN_008513,gene,no,GO:0042995
371,FUN_008513,gene,no,GO:0043005
372,FUN_008513,gene,no,GO:0045202
373,FUN_008513,gene,no,GO:0045211
374,FUN_008513,gene,no,GO:0050877
375,FUN_008513,gene,no,GO:1904315
376,FUN_007680,gene,no,GO:0000139
377,FUN_007680,gene,no,GO:0006486
378,FUN_007680,gene,no,GO:0006629
379,FUN_007680,gene,no,GO:0047275
380,FUN_007714,gene,yes,GO:0000943
381,FUN_007714,gene,yes,GO:0003677
382,FUN_007714,gene,yes,GO:0003723
383,FUN_007714,gene,yes,GO:0003887
384,FUN_007714,gene,yes,GO:0003964
385,FUN_007714,gene,yes,GO:0004190
386,FUN_007714,gene,yes,GO:0004523
387,FUN_007714,gene,yes,GO:0004540
388,FUN_007714,gene,yes,GO:0005524
389,FUN_007714,gene,yes,GO:0005634
390,FUN_007714,gene,yes,GO:0005737
391,FUN_007714,gene,yes,GO:0006310
392,FUN_007714,gene,yes,GO:0006508
393,FUN_007714,gene,yes,GO:0008233
394,FUN_007714,gene,yes,GO:0008270
395,FUN_007714,gene,yes,GO:0015074
396,FUN_007714,gene,yes,GO:0032197
397,FUN_007744,gene,yes,GO:0003964
398,FUN_007744,gene,yes,GO:0006313
399,FUN_008116,gene,no,GO:0000978
400,FUN_008116,gene,no,GO:0000981
401,FUN_008116,gene,no,GO:0002176
402,FUN_008116,gene,no,GO:0005634
403,FUN_008116,gene,no,GO:0006357
404,FUN_008116,gene,no,GO:0007281
405,FUN_008116,gene,no,GO:0007548
406,FUN_008116,gene,no,GO:0008584
407,FUN_008116,gene,no,GO:0030238
408,FUN_008116,gene,no,GO:0046872
409,FUN_009696,gene,no,GO:0000002
410,FUN_009696,gene,no,GO:0000723
411,FUN_009696,gene,no,GO:0003677
412,FUN_009696,gene,no,GO:0005524
413,FUN_009696,gene,no,GO:0005634
414,FUN_009696,gene,no,GO:0005657
415,FUN_009696,gene,no,GO:0005739
416,FUN_009696,gene,no,GO:0006260
417,FUN_009696,gene,no,GO:0006281
418,FUN_009696,gene,no,GO:0006310
419,FUN_009696,gene,no,GO:0016887
420,FUN_009696,gene,no,GO:0032508
421,FUN_009696,gene,no,GO:0043139
422,FUN_009800,gene,no,GO:0000922
423,FUN_009800,gene,no,GO:0005737
424,FUN_009800,gene,no,GO:0005815
425,FUN_009800,gene,no,GO:0007049
426,FUN_009800,gene,no,GO:0007346
427,FUN_009800,gene,no,GO:0019900
428,FUN_009800,gene,no,GO:0030496
429,FUN_009800,gene,no,GO:0051301
430,FUN_009071,gene,no,GO:0000922
431,FUN_009071,gene,no,GO:0005737
432,FUN_009071,gene,no,GO:0005815
433,FUN_009071,gene,no,GO:0007049
434,FUN_009071,gene,no,GO:0007346
435,FUN_009071,gene,no,GO:0019900
436,FUN_009071,gene,no,GO:0030496
437,FUN_009071,gene,no,GO:0051301
438,FUN_009073,gene,no,GO:0000922
439,FUN_009073,gene,no,GO:0005737
440,FUN_009073,gene,no,GO:0005815
441,FUN_009073,gene,no,GO:0007049
442,FUN_009073,gene,no,GO:0007346
443,FUN_009073,gene,no,GO:0019900
444,FUN_009073,gene,no,GO:0030496
445,FUN_009073,gene,no,GO:0051301
446,FUN_009109,gene,no,GO:0000922
447,FUN_009109,gene,no,GO:0005737
448,FUN_009109,gene,no,GO:0005815
449,FUN_009109,gene,no,GO:0007049
450,FUN_009109,gene,no,GO:0007346
451,FUN_009109,gene,no,GO:0019900
452,FUN_009109,gene,no,GO:0030496
453,FUN_009109,gene,no,GO:0051301
454,FUN_009112,gene,no,GO:0000922
455,FUN_009112,gene,no,GO:0005737
456,FUN_009112,gene,no,GO:0005815
457,FUN_009112,gene,no,GO:0007049
458,FUN_009112,gene,no,GO:0007346
459,FUN_009112,gene,no,GO:0019900
460,FUN_009112,gene,no,GO:0030496
461,FUN_009112,gene,no,GO:0051301
462,FUN_009124,gene,no,GO:0000922
463,FUN_009124,gene,no,GO:0005737
464,FUN_009124,gene,no,GO:0005815
465,FUN_009124,gene,no,GO:0007049
466,FUN_009124,gene,no,GO:0007346
467,FUN_009124,gene,no,GO:0019900
468,FUN_009124,gene,no,GO:0030496
469,FUN_009124,gene,no,GO:0051301
470,FUN_009130,gene,no,GO:0000922
471,FUN_009130,gene,no,GO:0005737
472,FUN_009130,gene,no,GO:0005815
473,FUN_009130,gene,no,GO:0007049
474,FUN_009130,gene,no,GO:0007346
475,FUN_009130,gene,no,GO:0019900
476,FUN_009130,gene,no,GO:0030496
477,FUN_009130,gene,no,GO:0051301
478,FUN_009133,gene,no,GO:0000922
479,FUN_009133,gene,no,GO:0005737
480,FUN_009133,gene,no,GO:0005815
481,FUN_009133,gene,no,GO:0007049
482,FUN_009133,gene,no,GO:0007346
483,FUN_009133,gene,no,GO:0019900
484,FUN_009133,gene,no,GO:0030496
485,FUN_009133,gene,no,GO:0051301
486,FUN_009137,gene,no,GO:0005737
487,FUN_009137,gene,no,GO:0005813
488,FUN_009137,gene,no,GO:0007049
489,FUN_009137,gene,no,GO:0007346
490,FUN_009137,gene,no,GO:0019900
491,FUN_009137,gene,no,GO:0030496
